std_smiles,pchembl_median,n_measurements,any_units,any_mol_id,log_ic50_m,log_ic50_nM,target_chembl_id,target_name,leak_exact,leak_tani,leak_any
Cc1nccn1-c1ccc(-c2cn(CC(=O)Nc3cccc(Cl)c3Cl)nn2)cc1,5.66,1,nM,CHEMBL3905835,-5.66,3.34,CHEMBL240,hERG,False,False,False
Cc1nccn1-c1ccc(-c2cn(CC(=O)Nc3cccc(Cl)c3Cl)nn2)cn1,5.35,1,nM,CHEMBL3965469,-5.35,3.6500000000000004,CHEMBL240,hERG,False,False,False
Cc1nccn1CC(NC(=O)CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)c1ccccc1,4.58,1,nM,CHEMBL561584,-4.58,4.42,CHEMBL240,hERG,False,False,False
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,6.09,5,nM,CHEMBL46,-6.09,2.91,CHEMBL240,hERG,False,False,False
Cc1nccn1C[C@H]1CCc2c(c3ccccc3n2C)C1=O,6.09,1,nM,CHEMBL428411,-6.09,2.91,CHEMBL240,hERG,False,False,False
Cc1nccnc1C(=O)N1CCC([C@H](N)Cc2cc(F)c(F)cc2F)CC1,4.26,1,nM,CHEMBL485124,-4.26,4.74,CHEMBL240,hERG,False,False,False
Cc1ncn(-c2cc(Cl)c(C(=O)NC[C@@H](c3cccc(F)c3)c3ccc4[nH]c(C)nc4c3)c(Cl)c2)n1,4.7,1,nM,CHEMBL3627897,-4.7,4.3,CHEMBL240,hERG,True,True,True
Cc1ncn(-c2cc(Cl)c(C(=O)NC[C@@H](c3cccc(F)c3)c3nc4c(C)cc(Cl)cc4[nH]3)c(Cl)c2)n1,5.52,1,nM,CHEMBL3627896,-5.52,3.4800000000000004,CHEMBL240,hERG,True,True,True
Cc1ncn(-c2cc(Cl)c(C(=O)NC[C@@H](c3cccc(F)c3)c3nc4ccc(Cl)cc4[nH]3)c(Cl)c2)n1,5.27,1,nM,CHEMBL3627895,-5.27,3.7300000000000004,CHEMBL240,hERG,True,True,True
Cc1ncn(C2CCN(C(=O)/C=C/c3ccc(C(F)(F)F)cc3Cn3nnc(C)n3)CC2)n1,4.6,1,nM,CHEMBL4761729,-4.6,4.4,CHEMBL240,hERG,False,False,False
Cc1ncnc(C)c1C(=O)N1C[C@H]2CN(CCC(c3cccc(F)c3)C3CCN(S(C)(=O)=O)CC3)C[C@H]2C1,4.81,1,nM,CHEMBL1269885,-4.81,4.19,CHEMBL240,hERG,False,False,False
Cc1ncnc(C2CC2)c1-c1ncc2nc(NCc3ccc(S(C)(=O)=O)cn3)c(=O)n([C@@H](C)C3CC3)c2n1,4.8,1,nM,CHEMBL4760304,-4.8,4.2,CHEMBL240,hERG,False,False,False
Cc1ncoc1-c1nnc(SCCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)n1C,6.25,1,nM,CHEMBL3908862,-6.25,2.75,CHEMBL240,hERG,False,True,True
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cc(C(F)(F)F)ccc3F)C2)n1C,5.4,3,nM,CHEMBL1082111,-5.4,3.5999999999999996,CHEMBL240,hERG,False,False,False
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cc(F)cc(C(F)(F)F)c3)C2)n1C,5.7,3,nM,CHEMBL1081868,-5.7,3.3,CHEMBL240,hERG,False,False,False
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(Br)cc3)C2)n1C,6.3,3,nM,CHEMBL1082106,-6.3,2.7,CHEMBL240,hERG,False,False,False
