std_smiles,pchembl_median,n_measurements,any_units,any_mol_id,log_ic50_m,log_ic50_nM,target_chembl_id,target_name,leak_exact,leak_tani,leak_any
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)NO)c1,6.36,1,nM,CHEMBL322375,-6.36,2.6399999999999997,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(N)=O)c1,6.04,1,nM,CHEMBL64448,-6.04,2.96,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(CN)c1,5.89,1,nM,CHEMBL62781,-5.89,3.1100000000000003,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1cc(Br)ccc1[N+](=O)[O-],5.54,1,nM,CHEMBL63074,-5.54,3.46,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1ccc(F)c(C(=N)N)c1,9.12,1,nM,CHEMBL288820,-9.12,-0.11999999999999922,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1ccc2ccnc(N)c2c1,8.15,1,nM,CHEMBL63088,-8.15,0.8499999999999996,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1cccc(C(=N)N)c1,9.3,2,nM,CHEMBL288232,-9.3,-0.3000000000000007,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1cccc(C(=N)NN)c1,7.24,1,nM,CHEMBL320865,-7.24,1.7599999999999998,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Br)c1cccc(C(=N)NO)c1,5.93,1,nM,CHEMBL99893,-5.93,3.0700000000000003,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1C(N)=O)c1ccc2ccnc(N)c2c1,5.96,1,nM,CHEMBL65091,-5.96,3.04,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl)c1ccc(F)c(C(=N)N)c1,9.13,1,nM,CHEMBL39297,-9.13,-0.13000000000000078,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl)c1ccc2ccnc(N)c2c1,7.96,1,nM,CHEMBL63041,-7.96,1.04,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl)c1cccc(C(=N)N)c1,9.3,2,nM,CHEMBL38201,-9.3,-0.3000000000000007,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl)c1cccc(C(=N)NN)c1,7.39,1,nM,CHEMBL103744,-7.39,1.6100000000000003,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1Cl)c1cccc(C(=N)NO)c1,6.12,1,nM,CHEMBL319565,-6.12,2.88,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1F)c1cc(C(=N)N)ccc1N,8.59,1,nM,CHEMBL40129,-8.59,0.41000000000000014,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1F)c1cc(C(=N)N)ccc1[N+](=O)[O-],7.82,1,nM,CHEMBL284541,-7.82,1.1799999999999997,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1F)c1ccc(F)c(C(=N)N)c1,8.82,1,nM,CHEMBL36276,-8.82,0.17999999999999972,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1F)c1ccc2ccnc(N)c2c1,8.3,1,nM,CHEMBL62288,-8.3,0.6999999999999993,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1F)c1cccc(C(=N)N)c1,9.7,2,nM,CHEMBL287252,-9.7,-0.6999999999999993,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1F)c1cccc(C(=N)NN)c1,6.96,1,nM,CHEMBL317638,-6.96,2.04,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1F)c1cccc(C(=N)NO)c1,5.8,1,nM,CHEMBL103459,-5.8,3.2,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1F)c1cccc(C(=N)S)c1,6.85,1,nM,CHEMBL303288,-6.85,2.1500000000000004,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cn1)c1ccc2ccnc(N)c2c1,7.85,1,nM,CHEMBL291643,-7.85,1.1500000000000004,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccnc(C(N)=O)c2)cc1)c1ccc2ccnc(N)c2c1,5.82,1,nM,CHEMBL65550,-5.82,3.1799999999999997,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccncc2S(C)(=O)=O)cc1)c1ccc2ccnc(N)c2c1,8.15,1,nM,CHEMBL407973,-8.15,0.8499999999999996,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C(\F)C(=O)Nc1ccc(-c2ccncc2[S+](C)[O-])cc1F)c1ccc2ccnc(N)c2c1,5.82,1,nM,CHEMBL64620,-5.82,3.1799999999999997,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C/C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)N)c1,8.4,1,nM,CHEMBL264853,-8.4,0.5999999999999996,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C/c1cccc(C(=N)N)c1)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1,6.44,1,nM,CHEMBL285725,-6.44,2.5599999999999996,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C1\CC(=O)N(c2ccc(-c3ccccc3S(N)(=O)=O)cc2)C1=O)c1cccc(C(=N)N)c1,8.7,1,nM,CHEMBL99629,-8.7,0.3000000000000007,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C1\CC(=O)N(c2ccc(-c3ccccc3S(N)(=O)=O)cc2)C1=O)c1cccc(C(=N)NN)c1,7.11,1,nM,CHEMBL99688,-7.11,1.8899999999999997,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C1\CC(=O)N(c2ccc(-c3ccccc3S(N)(=O)=O)cc2)C1=O)c1cccc(C(=N)NO)c1,6.15,1,nM,CHEMBL318187,-6.15,2.8499999999999996,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C1\CC(=O)N(c2ccc(C(=O)N3CCCC3)cc2)C1=O)c1cccc(C(=N)N)c1,6.75,1,nM,CHEMBL321526,-6.75,2.25,CHEMBL244,coagulation_factor_X,False,False,False
C/C(=C1\CC(=O)N(c2ccc(C(C)(C)C)cc2)C1=O)c1cccc(C(=N)N)c1,7.54,1,nM,CHEMBL99630,-7.54,1.46,CHEMBL244,coagulation_factor_X,False,False,False
C/C(Cc1ccc(Br)cc1)=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1,5.75,1,nM,CHEMBL62995,-5.75,3.25,CHEMBL244,coagulation_factor_X,False,False,False
C/C=C\Cc1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,8.12,1,nM,CHEMBL484616,-8.12,0.8800000000000008,CHEMBL244,coagulation_factor_X,False,False,False
C/N=C(/N)c1cccc(C2Oc3ccccc3N(CCCCCN3C(C)CCCC3C)C2=O)c1,5.55,1,nM,CHEMBL131796,-5.55,3.45,CHEMBL244,coagulation_factor_X,False,False,False
C/N=C(/NC)N(C)Cc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,9.1,1,nM,CHEMBL435741,-9.1,-0.09999999999999964,CHEMBL244,coagulation_factor_X,False,False,False
C/N=C(\N(C)C)N(C)CCCC[C@H](NC(=O)OC(C)(C)C)C(=O)NCC(=O)NC(C=O)CCCN=C(N)N,5.52,1,nM,CHEMBL290061,-5.52,3.4800000000000004,CHEMBL244,coagulation_factor_X,False,False,False
C/N=C(\N)c1ccc(C(=O)N2CCN(S(=O)(=O)c3ccc4cc(Br)ccc4c3)CC2)cc1,6.64,1,nM,CHEMBL65637,-6.64,2.3600000000000003,CHEMBL244,coagulation_factor_X,False,False,False
C/N=C(\N)c1ccc(NC(=O)c2cc(C)nn2-c2cc3ccccc3cc2F)c(F)c1,6.94,1,nM,CHEMBL20420,-6.94,2.0599999999999996,CHEMBL244,coagulation_factor_X,False,False,False
C/N=C(\N)c1cccc(/C(C)=C(/F)C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,6.05,1,nM,CHEMBL322849,-6.05,2.95,CHEMBL244,coagulation_factor_X,False,False,False
C=C(C)/C=C\c1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,9.51,1,nM,CHEMBL526193,-9.51,-0.5099999999999998,CHEMBL244,coagulation_factor_X,False,False,False
C=C(C)c1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,8.93,1,nM,CHEMBL520364,-8.93,0.07000000000000028,CHEMBL244,coagulation_factor_X,False,False,False
C=C(CCO)c1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,7.95,1,nM,CHEMBL507281,-7.95,1.0499999999999998,CHEMBL244,coagulation_factor_X,False,False,False
C=C(CO)c1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,8.15,1,nM,CHEMBL523251,-8.15,0.8499999999999996,CHEMBL244,coagulation_factor_X,False,False,False
C=C=Cc1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,8.82,1,nM,CHEMBL486112,-8.82,0.17999999999999972,CHEMBL244,coagulation_factor_X,False,False,False
C=CCc1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,8.72,1,nM,CHEMBL487955,-8.72,0.27999999999999936,CHEMBL244,coagulation_factor_X,False,False,False
C=Cc1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,8.78,1,nM,CHEMBL485704,-8.78,0.22000000000000064,CHEMBL244,coagulation_factor_X,False,False,False
CC#Cc1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,8.28,1,nM,CHEMBL484615,-8.28,0.7200000000000006,CHEMBL244,coagulation_factor_X,False,False,False
CC(=N)N(C)CCN(C)Cc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,8.96,1,nM,CHEMBL174791,-8.96,0.03999999999999915,CHEMBL244,coagulation_factor_X,False,False,False
CC(=N)N(C)Cc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,9.05,1,nM,CHEMBL176243,-9.05,-0.05000000000000071,CHEMBL244,coagulation_factor_X,False,False,False
CC(=N)N(C)c1ccc(C(=O)Nc2ccc(C)cc2C(=O)Nc2ccc(Cl)cn2)cc1,9.3,1,nM,CHEMBL5201486,-9.3,-0.3000000000000007,CHEMBL244,coagulation_factor_X,False,False,False
CC(=N)N1CCC(COc2ccc3c(c2)CN(C(=N)N)CC3)CC1,6.29,1,nM,CHEMBL535595,-6.29,2.71,CHEMBL244,coagulation_factor_X,False,False,False
CC(=N)N1CCC(Oc2ccc(N(Cc3cc(-c4cccc(C(=N)N)c4)no3)S(C)(=O)=O)cc2)CC1,7.85,1,nM,CHEMBL345763,-7.85,1.1500000000000004,CHEMBL244,coagulation_factor_X,False,False,False
CC(=N)N1CCC(Oc2ccc(N(Cc3cc(C)n(-c4cccc(C(=N)N)c4)n3)S(C)(=O)=O)cc2)CC1,6.03,1,nM,CHEMBL152490,-6.03,2.9699999999999998,CHEMBL244,coagulation_factor_X,False,False,False
CC(=N)N1CCC(Oc2ccc(N(Cc3cc(C)nn3-c3cccc(C(=N)N)c3)S(C)(=O)=O)cc2)CC1,5.16,1,nM,CHEMBL152018,-5.16,3.84,CHEMBL244,coagulation_factor_X,False,False,False
CC(=N)N1CCC(Oc2ccc(N(Cc3cc4cc(C(=N)N)ccc4n3C)S(C)(=O)=O)cc2)CC1,7.51,1,nM,CHEMBL345785,-7.51,1.4900000000000002,CHEMBL244,coagulation_factor_X,False,False,False
CC(=N)N1CCC(Oc2ccc(N(Cc3cc4cc(C(=N)N)ccc4s3)S(=O)(=O)CC(=O)O)cc2)CC1,8.52,1,nM,CHEMBL423959,-8.52,0.4800000000000004,CHEMBL244,coagulation_factor_X,False,False,False
CC(=N)N1CCC(Oc2ccc(N(Cc3cc4cc(C(=N)N)ccc4s3)S(C)(=O)=O)cc2)CC1,8.22,2,nM,CHEMBL153713,-8.22,0.7799999999999994,CHEMBL244,coagulation_factor_X,False,False,False
CC(=N)N1CCC(Oc2ccc(N(Cc3cc4ccc(C(=N)N)cc4n3C)S(C)(=O)=O)cc2)CC1,9.1,1,nM,CHEMBL153134,-9.1,-0.09999999999999964,CHEMBL244,coagulation_factor_X,False,False,False
CC(=N)N1CCC(Oc2ccc(N(Cc3ccc(-c4cccc(C(=N)N)c4)cc3)S(C)(=O)=O)cc2)CC1,7.6,1,nM,CHEMBL152149,-7.6,1.4000000000000004,CHEMBL244,coagulation_factor_X,False,False,False
CC(=N)N1CCC(Oc2ccc(N(Cc3ccc4ccc(C(=N)N)cc4c3)S(=O)(=O)CC(=O)O)cc2)CC1,8.7,1,nM,CHEMBL20240,-8.7,0.3000000000000007,CHEMBL244,coagulation_factor_X,False,False,False
CC(=N)N1CCC(Oc2ccc(N(Cc3ccc4ccc(C(=N)N)cc4c3)S(C)(=O)=O)cc2)CC1,8.22,1,nM,CHEMBL152069,-8.22,0.7799999999999994,CHEMBL244,coagulation_factor_X,False,False,False
CC(=N)N1CCC(Oc2ccc(N(Cc3cccc(-c4cccc(C(=N)N)c4)c3)S(=O)(=O)CC(=O)O)cc2)CC1,8.52,1,nM,CHEMBL152631,-8.52,0.4800000000000004,CHEMBL244,coagulation_factor_X,False,False,False
CC(=N)N1CCC(Oc2ccc(N(Cc3cccc(-c4cccc(C(=N)N)c4)c3)S(C)(=O)=O)cc2)CC1,8.15,2,nM,CHEMBL152661,-8.15,0.8499999999999996,CHEMBL244,coagulation_factor_X,False,False,False
