std_smiles,pchembl_median,n_measurements,any_units,any_mol_id,log_ic50_m,log_ic50_nM,target_chembl_id,target_name,leak_exact,leak_tani,leak_any
Nc1ccc(S(N)(=O)=O)cc1,6.1,4,nM,CHEMBL21,-6.1,2.9000000000000004,CHEMBL205,carbonic_anhydrase_II,True,True,True
Nc1ccc(S(N)(=O)=O)cc1Br,6.21,1,nM,CHEMBL6724,-6.21,2.79,CHEMBL205,carbonic_anhydrase_II,True,True,True
Nc1ccc(S(N)(=O)=O)cc1Cl,6.25,1,nM,CHEMBL7092,-6.25,2.75,CHEMBL205,carbonic_anhydrase_II,True,True,True
Nc1ccc(S(N)(=O)=O)cc1F,5.52,1,nM,CHEMBL6853,-5.52,3.4800000000000004,CHEMBL205,carbonic_anhydrase_II,True,True,True
Nc1ccc(S(N)(=O)=O)cc1I,5.76,1,nM,CHEMBL268177,-5.76,3.24,CHEMBL205,carbonic_anhydrase_II,True,True,True
Nc1ccc2cc(S(N)(=O)=O)oc2c1,7.6,1,nM,CHEMBL355157,-7.6,1.4000000000000004,CHEMBL205,carbonic_anhydrase_II,False,False,False
Nc1ccc2cc(S(N)(=O)=O)sc2c1,8.0,1,nM,CHEMBL85910,-8.0,1.0,CHEMBL205,carbonic_anhydrase_II,False,False,False
Nc1ccc2oc(S(N)(=O)=O)cc2c1,8.05,1,nM,CHEMBL164126,-8.05,0.9499999999999993,CHEMBL205,carbonic_anhydrase_II,False,False,False
Nc1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)c3ccccc3)c2-c2ccccc2)c1,5.5649999999999995,2,nM,CHEMBL513840,-5.5649999999999995,3.4350000000000005,CHEMBL205,carbonic_anhydrase_II,True,True,True
Nc1ccccc1S(N)(=O)=O,5.58,1,nM,CHEMBL6705,-5.58,3.42,CHEMBL205,carbonic_anhydrase_II,True,True,True
Nc1nccc(Nc2ccc(S(N)(=O)=O)cc2)n1,7.05,1,nM,CHEMBL6633,-7.05,1.9500000000000002,CHEMBL205,carbonic_anhydrase_II,False,False,False
Nc1nnc(S(N)(=O)=O)s1,5.52,4,nM,CHEMBL265674,-5.52,3.4800000000000004,CHEMBL205,carbonic_anhydrase_II,True,True,True
Nc1oc2cc(Cl)ccc2c(=O)c1-c1ccc(Cl)cc1,5.08,1,nM,CHEMBL2019141,-5.08,3.92,CHEMBL205,carbonic_anhydrase_II,False,False,False
Nc1oc2cc(Cl)ccc2c(=O)c1-c1ccccc1,5.17,1,nM,CHEMBL2019138,-5.17,3.83,CHEMBL205,carbonic_anhydrase_II,False,False,False
Nc1oc2ccc(Cl)cc2c(=O)c1-c1ccc(Cl)cc1,5.44,1,nM,CHEMBL2019140,-5.44,3.5599999999999996,CHEMBL205,carbonic_anhydrase_II,True,True,True
Nc1oc2ccc(Cl)cc2c(=O)c1-c1ccccc1,4.44,1,nM,CHEMBL2019137,-4.44,4.56,CHEMBL205,carbonic_anhydrase_II,False,False,False
Nc1oc2ccccc2c(=O)c1-c1ccc(Cl)cc1,5.06,1,nM,CHEMBL2019139,-5.06,3.9400000000000004,CHEMBL205,carbonic_anhydrase_II,False,False,False
Nc1oc2ccccc2c(=O)c1-c1ccccc1,5.03,1,nM,CHEMBL2019136,-5.03,3.9699999999999998,CHEMBL205,carbonic_anhydrase_II,False,False,False
O=C(/C=C/c1cn(S(=O)(=O)c2ccc(Cl)cc2)c2ccccc12)c1ccncc1,4.87,1,nM,CHEMBL4169670,-4.87,4.13,CHEMBL205,carbonic_anhydrase_II,False,False,False
O=C(/C=C/c1cn(S(=O)(=O)c2ccc(Cl)cc2Cl)c2ccccc12)c1ccncc1,5.04,1,nM,CHEMBL4160867,-5.04,3.96,CHEMBL205,carbonic_anhydrase_II,False,False,False
O=C(/C=C/c1cn(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)c2ccccc12)c1ccncc1,4.85,1,nM,CHEMBL4174859,-4.85,4.15,CHEMBL205,carbonic_anhydrase_II,False,False,False
O=C(/C=C/c1cn(S(=O)(=O)c2cccc([N+](=O)[O-])c2)c2ccccc12)c1ccncc1,4.61,1,nM,CHEMBL4166636,-4.61,4.39,CHEMBL205,carbonic_anhydrase_II,False,False,False
O=C(/C=C/c1cn(S(=O)(=O)c2cccc3ccccc23)c2ccccc12)c1ccncc1,4.19,1,nM,CHEMBL4169120,-4.19,4.81,CHEMBL205,carbonic_anhydrase_II,False,False,False
